UPC,MANUFACTURER_1,MANUFACTURER_2,MANUFACTURER_3,MANUFACTURER_4,MANUFACTURER_5,MANUFACTURER_6,MANUFACTURER_7,MANUFACTURER_8,MANUFACTURER_9,CATEGORY_1,CATEGORY_2,CATEGORY_3,CATEGORY_4,SUB_CATEGORY_1,SUB_CATEGORY_2,SUB_CATEGORY_3,SUB_CATEGORY_4,SUB_CATEGORY_5,SUB_CATEGORY_6,SUB_CATEGORY_7,PRODUCT_SIZE
1111009477,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,15.0
1111009497,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,15.0
1111009507,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,15.0
1111038078,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,500.0
1111038080,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,500.0
1111085319,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,12.25
1111085345,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,20.0
1111085350,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,18.0
1111087395,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,32.7
1111087396,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,30.5
1111087398,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,29.6
1600027527,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,12.25
1600027528,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,18.0
1600027564,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,12.0
2840004768,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,16.0
2840004770,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,16.0
3700031613,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1.0
3700044982,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1.0
3800031829,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,18.0
3800031838,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15.0
3800039118,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,12.2
7192100336,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,29.8
7192100337,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,32.7
7192100339,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,28.3
7218063052,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,22.7
7797502248,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,10.0
7797508004,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,16.0
7797508006,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,16.0
31254742735,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1.0
31254742835,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1.0
